"transectID" "date" "species" "indivID" "perpDist_m" "clusterSize" "flowers/fruit" "no flowers/fruit" "heightClass" "section" "notes" "obsID"
"280" 26830 2021-11-02 "Stackhousia monogyna" 85 0.32 NA 0 NA NA 2 NA 280
"281" 26830 2021-11-02 "Stackhousia monogyna" 86 0.49 NA 2 NA NA 2 NA 281
"282" 26830 2021-11-02 "Stackhousia monogyna" 87 0.93 NA 2 NA NA 2 NA 282
"283" 26830 2021-11-02 "Stackhousia monogyna" 88 0.93 NA 2 NA NA 2 NA 283
"284" 26830 2021-11-02 "Stackhousia monogyna" 129 0.34 1 1 NA NA 2 NA 284
"285" 26830 2021-11-02 "Stackhousia monogyna" 130 0.74 1 0 NA NA 2 NA 285
"286" 26830 2021-11-02 "Stackhousia monogyna" 131 0.73 1 1 NA NA 2 NA 286
"287" 26830 2021-11-02 "Stackhousia monogyna" 132 0.57 1 0 NA NA 2 NA 287
"288" 26830 2021-11-02 "Stackhousia monogyna" 133 0.54 1 0 NA NA 2 NA 288
"289" 26830 2021-11-02 "Stackhousia monogyna" 134 1.03 1 0 NA NA 2 NA 289
"290" 26830 2021-11-02 "Stackhousia monogyna" 135 1.04 1 1 NA NA 2 NA 290
"291" 26830 2021-11-02 "Stackhousia monogyna" 136 1.01 1 2 NA NA 2 NA 291
"292" 26830 2021-11-02 "Stackhousia monogyna" 137 1.11 1 0 NA NA 2 NA 292
"293" 26830 2021-11-02 "Stackhousia monogyna" 138 0.98 1 0 NA NA 2 NA 293
"294" 26830 2021-11-02 "Stackhousia monogyna" 139 0.55 1 0 NA NA 2 NA 294
"295" 26830 2021-11-02 "Stackhousia monogyna" 140 0.67 1 0 NA NA 2 NA 295
"296" 26830 2021-11-02 "Stackhousia monogyna" 60 0.64 NA 1 NA NA 1 NA 296
"297" 26830 2021-11-02 "Stackhousia monogyna" 61 0.63 NA 1 NA NA 1 NA 297
"298" 26830 2021-11-02 "Stackhousia monogyna" 62 0.77 NA 0 NA NA 1 NA 298
"299" 26830 2021-11-02 "Stackhousia monogyna" 63 0.7 NA 1 NA NA 1 NA 299
"300" 26830 2021-11-02 "Stackhousia monogyna" 64 0.4 NA 0 NA NA 1 NA 300
"301" 26830 2021-11-02 "Stackhousia monogyna" 146 0.82 1 0 NA NA 2 NA 301
"302" 26830 2021-11-02 "Stackhousia monogyna" 147 1.5 1 2 NA NA 2 NA 302
"303" 26830 2021-11-02 "Stackhousia monogyna" 148 0.88 1 1 NA NA 2 NA 303
"304" 26830 2021-11-02 "Stackhousia monogyna" 28 1.43 1 2 NA NA 1 NA 304
"305" 26830 2021-11-02 "Stackhousia monogyna" 29 1.29 1 0 NA NA 1 NA 305
"306" 26830 2021-11-02 "Stackhousia monogyna" 30 1.2 1 0 NA NA 1 NA 306
"307" 26830 2021-11-02 "Stackhousia monogyna" 31 1.9 1 1 NA NA 1 NA 307
"308" 26830 2021-11-02 "Stackhousia monogyna" 32 1.25 1 1 NA NA 1 NA 308
"309" 26830 2021-11-02 "Stackhousia monogyna" 33 1.36 1 1 NA NA 1 NA 309
"310" 26830 2021-11-02 "Stackhousia monogyna" 34 0.13 1 0 NA NA 1 NA 310
"311" 26830 2021-11-02 "Stackhousia monogyna" 35 0.33 1 0 NA NA 1 NA 311
"312" 26830 2021-11-02 "Stackhousia monogyna" 36 0.11 1 0 NA NA 1 NA 312
"313" 26830 2021-11-02 "Stackhousia monogyna" 37 0.15 1 2 NA NA 1 NA 313
"314" 26830 2021-11-02 "Stackhousia monogyna" 119 0.38 1 1 NA NA 2 NA 314
"315" 26830 2021-11-02 "Stackhousia monogyna" 39 0.45 1 0 NA NA 1 NA 315
"316" 26830 2021-11-02 "Stackhousia monogyna" 40 0.48 1 0 NA NA 1 NA 316
"317" 26830 2021-11-02 "Stackhousia monogyna" 41 0.7 1 0 NA NA 1 NA 317
