"simID","p","dhat"
2123,0.83,0.168974358974359
2124,0.83,0.165641025641026
2125,0.83,0.167820512820513
2126,0.83,0.169871794871795
2127,0.83,0.172051282051282
2128,0.83,0.166025641025641
2129,0.83,0.158717948717949
2130,0.83,0.168076923076923
2131,0.83,0.167435897435897
2132,0.83,0.168717948717949
2133,0.83,0.17
2134,0.83,0.166025641025641
2135,0.83,0.175
2136,0.83,0.170384615384615
2137,0.83,0.159102564102564
2138,0.83,0.171666666666667
2139,0.83,0.170641025641026
2140,0.83,0.163076923076923
2141,0.83,0.160897435897436
2142,0.83,0.157051282051282
2143,0.83,0.167051282051282
2144,0.83,0.163717948717949
2145,0.83,0.172051282051282
2146,0.83,0.171794871794872
2147,0.83,0.159615384615385
2148,0.83,0.172692307692308
2149,0.83,0.158589743589744
2150,0.83,0.157307692307692
2151,0.83,0.167435897435897
2152,0.83,0.172435897435897
2153,0.83,0.171410256410256
2154,0.83,0.170128205128205
2155,0.83,0.167820512820513
2156,0.83,0.171025641025641
2157,0.83,0.173589743589744
2158,0.83,0.164102564102564
2159,0.83,0.158846153846154
2160,0.83,0.162692307692308
2161,0.83,0.165769230769231
2162,0.83,0.173717948717949
2163,0.83,0.163205128205128
2164,0.83,0.167435897435897
2165,0.83,0.165769230769231
2166,0.83,0.168205128205128
2167,0.83,0.172820512820513
2168,0.83,0.160641025641026
2169,0.83,0.167948717948718
2170,0.83,0.166923076923077
2171,0.83,0.165
2172,0.83,0.164358974358974
2173,0.83,0.178205128205128
2174,0.83,0.169102564102564
2175,0.83,0.17474358974359
2176,0.83,0.160897435897436
2177,0.83,0.170128205128205
2178,0.83,0.166025641025641
2179,0.83,0.160641025641026
2180,0.83,0.168974358974359
2181,0.83,0.159487179487179
2182,0.83,0.171410256410256
2183,0.83,0.164358974358974
2184,0.83,0.16448717948718
2185,0.83,0.164102564102564
2186,0.83,0.17
2187,0.83,0.172051282051282
2188,0.83,0.162692307692308
2189,0.83,0.165769230769231
2190,0.83,0.165
2191,0.83,0.174615384615385
2192,0.83,0.162051282051282
2193,0.83,0.167820512820513
2194,0.83,0.172435897435897
2195,0.83,0.16025641025641
2196,0.83,0.173717948717949
2197,0.83,0.17025641025641
2198,0.83,0.167564102564103
2199,0.83,0.163846153846154
2200,0.83,0.166538461538462
2201,0.83,0.166025641025641
2202,0.83,0.163333333333333
2203,0.83,0.17025641025641
2204,0.83,0.16974358974359
2205,0.83,0.176282051282051
2206,0.83,0.163461538461538
2207,0.83,0.173333333333333
2208,0.83,0.164615384615385
2209,0.83,0.174102564102564
2210,0.83,0.167051282051282
2211,0.83,0.15525641025641
2212,0.83,0.171923076923077
2213,0.83,0.16525641025641
2214,0.83,0.162692307692308
2215,0.83,0.159358974358974
2216,0.83,0.160769230769231
2217,0.83,0.166923076923077
2218,0.83,0.165641025641026
2219,0.83,0.166794871794872
2220,0.83,0.157179487179487
2221,0.83,0.171282051282051
2222,0.83,0.166666666666667
2223,0.83,0.163846153846154
2224,0.83,0.169230769230769
2225,0.83,0.166025641025641
2226,0.83,0.168461538461538
2227,0.83,0.168589743589744
2228,0.83,0.159230769230769
2229,0.83,0.169230769230769
2230,0.83,0.164358974358974
2231,0.83,0.16525641025641
