"method" "idx" "estD" "seD" "cvD" "p" "detfunc"
"117" "LTS" 117 0.250377554623797 0.0696414236683806 0.278145633992711 0.890609984329666 "hazard-rate key function"
"118" "LTS" 118 0.120874719823651 0.0311506172336194 0.257709943643024 0.585392601280897 "uniform key function with cosine(1,2,3) adjustments"
"119" "LTS" 119 0.149096858448281 0.0572843752848752 0.384209136805832 0.677045899673889 "uniform key function with cosine(1) adjustments"
"120" "LTS" 120 0.0826284038742258 0.0302219091306798 0.365756903360769 0.644229637397984 "uniform key function with cosine(1,2,3) adjustments"
"121" "LTS" 121 0.105510232766181 0.0525816580429729 0.498356004573489 0.956735797279202 "hazard-rate key function"
"122" "LTS" 122 0.174876574168559 0.0694557637613169 0.397170198990577 0.675609834507927 "uniform key function with cosine(1) adjustments"
"123" "LTS" 123 0.194274497566794 0.054934009837545 0.28276490494414 0.865446410993086 "half-normal key function"
"124" "LTS" 124 0.102409522464138 0.0575135977502763 0.561604002893543 0.925509577350575 "half-normal key function"
"125" "LTS" 125 0.123511133086596 0.0490335043631052 0.396996636155276 0.97097621208936 "uniform key function with cosine(1) adjustments"
"126" "LTS" 126 0.209079602539782 0.0745645402016095 0.356632303179466 0.627185364204604 "uniform key function with cosine(1,2) adjustments"
"127" "LTS" 127 0.165383863915717 0.0526653190355221 0.318442910865605 0.823663886989282 "half-normal key function"
"128" "LTS" 128 0.154310113828941 0.0680826512434951 0.441206668533519 0.978448247079166 "uniform key function with cosine(1) adjustments"
"129" "LTS" 129 0.126059436221339 0.0627007989360499 0.49739076117997 0.803992330796223 "hazard-rate key function"
"130" "LTS" 130 0.101354607341938 0.0580935958526061 0.573171732160307 0.893857272541503 "half-normal key function"
"131" "LTS" 131 0.133120226399831 0.0613229990359215 0.460658764594763 0.816821151881728 "half-normal key function"
"132" "LTS" 132 0.152608432993514 0.0716711072393971 0.469640542357468 0.697624182654822 "uniform key function with cosine(1) adjustments"
"133" "LTS" 133 0.0970666388037669 0.0216115068306473 0.222646082083236 0.732319063233509 "uniform key function with cosine(1) adjustments"
"134" "LTS" 134 0.11152210295881 0.019190810687964 0.17208078200473 0.756725926320061 "half-normal key function with cosine(2) adjustments"
"135" "LTS" 135 0.106630463126434 0.0225549010248227 0.21152399008226 0.65097631190239 "uniform key function with cosine(1,2,3) adjustments"
"136" "LTS" 136 0.128341583068986 0.0587529834023339 0.45778602692436 0.657656701152983 "uniform key function with cosine(1) adjustments"
"137" "LTS" 137 0.238239662553907 0.080158042951437 0.336459689760094 0.734346308214236 "uniform key function with cosine(1) adjustments"
"138" "LTS" 138 0.11182314921065 0.0137931130441598 0.12334756391252 0.574118292875512 "uniform key function with cosine(1) adjustments"
"139" "LTS" 139 0.174983033195063 0.0694413128659603 0.396845977567153 0.897791805667282 "hazard-rate key function"
"140" "LTS" 140 0.227806950136612 0.0514182961247635 0.225709953510763 0.981021897810219 "hazard-rate key function"
"141" "LTS" 141 0.183890036056659 0.0644606879161201 0.350539318488463 0.921535400609209 "half-normal key function"
"142" "LTS" 142 0.230505637727625 0.0629087187884591 0.272916182912605 0.818127133573645 "half-normal key function"
"143" "LTS" 143 0.216395208144108 0.0430087094901629 0.198750748036534 0.964471834303951 "hazard-rate key function"
"144" "LTS" 144 0.157198116607829 0.0603756485072556 0.384073612394976 0.782560796451721 "uniform key function with cosine(1) adjustments"
"145" "LTS" 145 0.147360861958701 0.0447378407426255 0.303593777533438 0.960352236355642 "uniform key function with cosine(1) adjustments"
"146" "LTS" 146 0.133613845550972 0.0458799711146726 0.34337737174977 0.978047137889669 "half-normal key function"
"147" "LTS" 147 0.158478131962474 0.0636737546215223 0.401782591913689 0.759855099094563 "uniform key function with cosine(1) adjustments"
"148" "LTS" 148 0.194346528761726 0.0729814534307243 0.375522289467807 0.835063366969835 "hazard-rate key function"
"149" "LTS" 149 0.192657732105597 0.052371580995361 0.271837420813486 0.791840353352912 "uniform key function with cosine(1) adjustments"
"150" "LTS" 150 0.169862083199126 0.0541717907667732 0.318916321680035 0.800030393822277 "uniform key function with cosine(1) adjustments"
"151" "LTS" 151 0.267876126647244 0.0740774436638867 0.276536190779839 0.838490796018001 "half-normal key function"
