simID,n_obs,est_D,est_sigm,est_p,ER,se.ER,error
183,697,3.997169316,1.297020541,0.712753598,11.39598725,0.474850917,-0.027236837
184,711,4.01075631,1.18524357,0.724606975,11.624888,0.438181853,-0.013649843
185,697,4.095747627,1.244442925,0.695598721,11.39598725,0.430242041,0.071341474
186,642,4.060124895,1.111311005,0.646330752,10.49673431,0.344517004,0.035718743
187,679,4.303251135,1.107918636,0.644959238,11.10168629,0.494143355,0.278844982
188,713,4.295595517,1.195414259,0.678461697,11.6575881,0.435353754,0.271189364
189,669,4.066034456,1.17917943,0.672534005,10.93818575,0.437550285,0.041628304
190,633,4.063309666,1.087965282,0.636770556,10.34958383,0.377274879,0.038903513
191,651,3.928807765,1.192197518,0.677297378,10.64388479,0.394334565,-0.095598388
192,674,3.75760903,1.364977351,0.733174735,11.01993602,0.321371032,-0.266797123
193,633,3.813568119,1.195440438,0.678471153,10.34958383,0.380195572,-0.210838034
194,620,3.926808283,1.108941908,0.645373571,10.13703313,0.41362727,-0.09759787
195,678,4.033592977,1.219618613,0.687063388,11.08533623,0.450903446,0.009186825
196,657,3.874906316,1.236936798,0.693048053,10.74198511,0.493508688,-0.149499836
197,692,4.081368775,1.23691855,0.69304182,11.31423698,0.37623503,0.056962622
198,640,3.817382986,1.214559278,0.685288471,10.4640342,0.54818731,-0.207023166
199,642,3.70190492,1.284795392,0.708873846,10.49673431,0.428900868,-0.322501233
200,660,3.965840521,1.200379096,0.680248942,10.79103527,0.339992194,-0.058565632
201,675,4.290348695,1.103313798,0.643087943,11.03628607,0.463693495,0.265942542
202,678,3.929288991,1.273717078,0.705301663,11.08533623,0.357902787,-0.095117162
203,607,3.673542702,1.186992307,0.675402686,9.924482438,0.472515667,-0.350863451
204,691,4.166569524,1.193830357,0.67788902,11.29788693,0.477638148,0.142163371
205,680,4.221396617,1.141910253,0.658433532,11.11803634,0.388814186,0.196990465
206,650,3.739298939,1.28998866,0.710529895,10.62753474,0.441441002,-0.285107214
207,601,3.563384426,1.226330715,0.689399525,9.826382117,0.374429888,-0.461021727
208,636,3.604846526,1.174216186,0.721156498,10.39863399,0.284555079,-0.419559627
209,654,3.812590904,1.261076686,0.701159344,10.69293495,0.530793105,-0.211815249
210,698,4.134746779,1.22814215,0.690026374,11.4123373,0.412690198,0.110340626
211,694,4.145470698,1.211748812,0.684297268,11.34693709,0.400998933,0.121064545
212,699,4.402400036,1.117964127,0.649003229,11.42868735,0.340926296,0.377993884
213,651,3.939395955,1.187195672,0.675476958,10.64388479,0.480907836,-0.085010198
214,652,3.843699692,1.237843919,0.693357683,10.66023484,0.417354516,-0.180706461
215,671,3.625454687,1.451319321,0.756517927,10.97088586,0.433954036,-0.398951466
216,671,4.175322727,1.285438468,0.656888496,10.97088586,0.525074737,0.150916574
217,677,4.140057675,1.168081934,0.668407728,11.06898618,0.403713795,0.115651522
218,653,3.840275963,1.242792802,0.695040213,10.6765849,0.411179717,-0.18413019
219,668,4.238820878,1.105936985,0.644155298,10.9218357,0.434240709,0.214414725
220,674,4.092009415,1.181147516,0.673259449,11.01993602,0.397535811,0.067603262
221,707,4.017820511,1.318004454,0.719263575,11.55948778,0.415195457,-0.006585642
222,692,4.042187982,1.25685358,0.699759451,11.31423698,0.463802821,0.017781829
223,647,3.881804281,1.203276793,0.681286575,10.57848458,0.414528868,-0.142601872
224,676,3.990181424,1.235303433,0.692489573,11.05263613,0.382648589,-0.034224729
225,694,4.202078214,1.3868208,0.675078884,11.34693709,0.478361324,0.177672061
226,670,3.830244152,1.154945647,0.71500245,10.9545358,0.390942099,-0.194162001
227,692,4.086961659,1.234146984,0.692093413,11.31423698,0.511441265,0.062555506
228,710,3.800634225,1.479640493,0.763592157,11.60853794,0.554706613,-0.223771928
229,670,4.180372007,1.13340404,0.655117283,10.9545358,0.481587822,0.155965854
230,684,4.069623467,1.219456878,0.687006835,11.18343655,0.506260236,0.045217314
231,700,4.203600747,1.201549889,0.680668675,11.44503741,0.415628166,0.179194594
232,702,4.249612076,1.18649961,0.675222662,11.47773751,0.434665062,0.225205923
233,709,4.159118735,1.247985422,0.696793517,11.59218789,0.455105464,0.134712582
234,657,4.038545974,1.158949035,0.664966128,10.74198511,0.400734486,0.014139821
235,683,3.879522973,1.319161906,0.719617243,11.1670865,0.546342903,-0.14488318
236,658,3.825285933,1.119045131,0.703106601,10.75833516,0.481358075,-0.19912022
237,699,4.298114439,1.158379325,0.664750062,11.42868735,0.408119397,0.273708286
238,659,4.150949355,1.117778495,0.648928974,10.77468522,0.405627249,0.126543202
239,664,3.932730798,1.228451868,0.690133399,10.85643548,0.478361324,-0.091675355
240,718,4.035000208,1.344920327,0.727344347,11.73933837,0.502165041,0.010594056
241,683,4.17982055,1.166771931,0.667916623,11.1670865,0.484650217,0.155414397
242,670,3.936160836,1.244928151,0.695762715,10.9545358,0.465825659,-0.088245317
243,649,3.964222974,1.170158322,0.6691844,10.61118468,0.335475049,-0.060183179
244,649,4.07814351,1.121693172,0.650491128,10.61118468,0.383190235,0.053737358
245,654,3.933568037,1.198559062,0.679595144,10.69293495,0.448936573,-0.090838116
246,707,4.287022258,1.183428145,0.674097724,11.55948778,0.403713795,0.262616105
247,641,3.661193473,1.306249715,0.715639882,10.48038425,0.435861628,-0.363212679
248,622,3.809650619,1.165307272,0.667366529,10.16973324,0.453553324,-0.214755534
249,651,4.052977832,1.137060177,0.656547188,10.64388479,0.502834613,0.028571679
250,649,3.842630698,1.229106278,0.690359386,10.61118468,0.348414785,-0.181775455
251,682,3.951425508,1.274291489,0.705488211,11.15073645,0.390659047,-0.072980644
252,709,4.007184677,1.180767955,0.723212731,11.59218789,0.43011347,-0.017221476
253,692,4.750897965,1.135841283,0.595373604,11.31423698,0.457197031,0.726491813
254,659,3.907827821,1.226047647,0.68930143,10.77468522,0.400826487,-0.116578332
255,669,3.976410974,1.221419055,0.687692106,10.93818575,0.414840076,-0.047995179
256,661,3.939252283,1.216235782,0.685877963,10.80738532,0.349998617,-0.08515387
257,683,4.636263662,1.283516106,0.602159805,11.1670865,0.411851726,0.61185751
258,661,4.33588342,1.226198046,0.623136295,10.80738532,0.479371937,0.311477267
259,663,3.965043309,1.209434904,0.683478375,10.84008543,0.447053843,-0.059362844
260,666,3.958816351,1.221301116,0.687650968,10.88913559,0.386722238,-0.065589801
261,684,4.04523361,1.231397357,0.691148994,11.18343655,0.445225267,0.020827457
262,642,3.876689422,1.1911401,0.676913544,10.49673431,0.422403963,-0.147716731
263,668,3.896138099,1.260025484,0.700811638,10.9218357,0.485362945,-0.128268054
264,701,4.451202627,1.104876443,0.643724203,11.46138746,0.47415155,0.426796474
265,675,4.393347835,1.067165516,0.628011171,11.03628607,0.389110425,0.368941682
266,637,3.484767666,1.415539972,0.747179227,10.41498404,0.352517947,-0.539638487
267,662,3.915634744,1.231135295,0.691058799,10.82373538,0.334194894,-0.108771409
268,671,4.13828157,1.153173554,0.662768209,10.97088586,0.430755942,0.113875418
269,673,4.243211259,1.282143271,0.648305334,11.00358596,0.417851177,0.218805106
270,692,3.989231714,1.136763451,0.709048621,11.31423698,0.422622136,-0.035174438
271,688,3.909182698,1.318403139,0.71938546,11.24883677,0.366555177,-0.115223455
272,655,3.864989425,1.235951024,0.692711145,10.709285,0.358276052,-0.159416728
273,634,3.670864643,1.275746104,0.705959964,10.36593388,0.417884266,-0.35354151
274,642,4.002135912,1.134881072,0.655695767,10.49673431,0.53245769,-0.02227024
275,639,3.883617759,1.179218521,0.672548433,10.44768415,0.343351122,-0.140788394
276,707,4.409247228,1.134155254,0.655411637,11.55948778,0.429598801,0.384841075
277,706,3.852547188,1.422601456,0.749058815,11.54313773,0.427048528,-0.171858965
278,663,3.928942078,1.227367641,0.689758542,10.84008543,0.368373885,-0.095464075
279,668,4.18470348,1.12672034,0.652485639,10.9218357,0.461411658,0.160297327
280,703,4.35853637,1.144112144,0.659285973,11.49408757,0.430242041,0.334130218
281,658,4.180658407,1.25459666,0.643339763,10.75833516,0.365043187,0.156252254
282,702,4.523243089,1.228461636,0.634375452,11.47773751,0.604456549,0.498836936
283,649,3.836876437,1.232111838,0.691394736,10.61118468,0.373690589,-0.187529715
284,668,4.175348541,1.28668595,0.653947544,10.9218357,0.468548539,0.150942388
285,621,3.709592686,1.211658534,0.684265366,10.15338319,0.345758944,-0.314813467
286,671,4.144404028,1.150614849,0.661789113,10.97088586,0.473567954,0.119997876
287,674,4.434467506,1.051509313,0.621266026,11.01993602,0.363372732,0.410061354
288,626,3.705197758,1.229783166,0.690592927,10.23513345,0.383370614,-0.319208395
289,651,4.128934248,1.264324782,0.644469259,10.64388479,0.409472358,0.104528095
290,679,3.993346882,1.242707746,0.695011391,11.10168629,0.449603405,-0.03105927
291,665,4.720024745,1.067768161,0.575886045,10.87278554,0.404671653,0.695618592
292,668,3.875049304,1.271639121,0.704625596,10.9218357,0.347977968,-0.149356849
293,639,4.847541218,1.097119697,0.53881358,10.44768415,0.355227058,0.823135066
294,648,3.911285911,1.191919133,0.677196379,10.59483463,0.351667069,-0.113120241
295,674,3.744272168,1.374143583,0.735786257,11.01993602,0.423798327,-0.280133984
296,639,3.815299973,1.212581308,0.684591266,10.44768415,0.493956773,-0.20910618
297,688,3.793951981,1.393647419,0.741234788,11.24883677,0.47847693,-0.230454172
298,667,4.134961574,1.144268085,0.659346251,10.90548564,0.485220483,0.110555421
299,707,4.25983221,1.195244609,0.678400416,11.55948778,0.402341471,0.235426058
300,708,4.061601946,1.296268376,0.71251676,11.57583784,0.450903446,0.037195794
301,716,4.450979606,1.139587311,0.65753156,11.70663826,0.566252247,0.426573453
302,705,3.874594185,1.249584198,0.74374161,11.52678767,0.389820481,-0.149811968
303,682,4.153721233,1.175383189,0.671129321,11.15073645,0.351142428,0.129315081
304,697,4.091327617,1.323279176,0.696350202,11.39598725,0.402341471,0.066921464
305,677,3.930433173,1.269894127,0.704056378,11.06898618,0.386209415,-0.093972979
306,661,3.796044444,1.293848299,0.711753082,10.80738532,0.454497413,-0.228361709
307,666,4.44158802,1.032518419,0.61290779,10.88913559,0.448320155,0.417181867
308,664,3.892481089,1.249401842,0.697269636,10.85643548,0.418545511,-0.131925064
309,694,4.072269902,1.247403977,0.696597804,11.34693709,0.372393284,0.04786375
310,646,3.703981784,1.297455851,0.712890555,10.56213452,0.443565831,-0.320424369
311,678,3.948577414,1.263188395,0.701856331,11.08533623,0.456389832,-0.075828739
312,710,4.347325038,1.165843007,0.667567863,11.60853794,0.55966979,0.322918886
313,686,4.020281323,1.250005066,0.697472127,11.21613666,0.439809207,-0.00412483
314,658,3.819380225,1.270314961,0.704193778,10.75833516,0.355058344,-0.205025928
315,717,4.397375021,1.162943487,0.666476492,11.72298832,0.468204123,0.372968868
316,665,3.818737664,1.294012426,0.711804953,10.87278554,0.418115821,-0.205668489
317,653,3.791458362,1.269688851,0.703989328,10.6765849,0.470756626,-0.232947791
318,616,3.668653803,1.217524764,0.68633029,10.07163292,0.460091221,-0.35575235
319,659,4.815876487,1.131531025,0.559331476,10.77468522,0.383190235,0.791470335
320,704,4.372467114,1.141102775,0.658120308,11.51043762,0.417884266,0.348060961
321,662,4.035885447,1.173603738,0.670468446,10.82373538,0.450494389,0.011479294
322,643,3.899653167,1.183095466,0.673975602,10.51308436,0.428954595,-0.124752986
323,693,4.112298016,1.22466952,0.688823317,11.33058703,0.435141965,0.087891863
324,683,4.070520061,1.216159976,0.685851337,11.1670865,0.480063699,0.046113908
325,621,3.461513322,1.365432622,0.733305222,10.15338319,0.446930108,-0.562892831
326,671,4.336192596,1.077800154,0.632518368,10.97088586,0.452057032,0.311786443
327,673,4.048270267,1.198361063,0.679523922,11.00358596,0.460661874,0.023864114
328,692,3.943372738,1.311593314,0.717294416,11.31423698,0.450494389,-0.081033415
329,677,4.055653372,1.206169221,0.682318307,11.06898618,0.344583889,0.031247219
330,682,4.07625018,1.210581432,0.68388445,11.15073645,0.428470806,0.051844027
331,675,3.996863563,1.228960776,0.690309157,11.03628607,0.395455035,-0.027542589
332,667,4.18160721,1.125471233,0.651991274,10.90548564,0.444157716,0.157201057
333,679,4.2311071,1.135547345,0.65595635,11.10168629,0.504116235,0.206700947
334,642,3.841040144,1.208638907,0.683196082,10.49673431,0.434665062,-0.183366009
335,670,4.006697002,1.20953574,0.683514114,10.9545358,0.327001069,-0.017709151
336,712,4.200837195,1.236189647,0.69279274,11.64123805,0.37623503,0.176431042
337,633,3.617684228,1.304860631,0.715207794,10.34958383,0.34671739,-0.406721924
338,692,4.198037213,1.182566639,0.673781365,11.31423698,0.564883148,0.17363106
